Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
53,"Curtin, Fearghal",SR-4,Arizona State,8:02.95,Arkansas Qualifier,"Feb 5, 2021",482.95
54,"Garnica, Brandon",JR-3,BYU,"8:03.43
@",2021 BYU Cougar Indoor #1,"Jan 14, 2021",483.43
55,"Young, Matt",JR-3,Arkansas,8:03.83,Razorback Invitational,"Jan 29, 2021",483.83
56,"Ogden, Jake",SR-4,Furman,8:04.19,Music City Challenge,"Feb 12, 2021",484.19
57,"Lee, Jacob",SR-4,Michigan,8:04.45,2021 UM B1G Simmons-Harvey Invitational,"Jan 16, 2021",484.45
58,"Kioko, Athanas",SR-4,Campbell,8:04.58,Carolina Challenge,"Jan 23, 2021",484.58
59,"Hengst, Dalton",JR-3,Ole Miss,8:05.26,Music City Challenge,"Feb 12, 2021",485.26
60,"Scarr, Matthew",SR-4,East Tenn. St.,8:05.39,Music City Challenge,"Feb 12, 2021",485.39
61,"Byrer, Austin",JR-3,Weber State,8:05.67,Iowa State Classic,"Feb 12, 2021",485.67
62,"Raimond, Oli",FR-1,Michigan,8:05.71,2021 UM B1G Simmons-Harvey Invitational,"Jan 16, 2021",485.71
63,"Janke, Justin",SR-4,Washington St.,8:05.84,UW Invite 2021,"Feb 12, 2021",485.84
64,"Kusche, George",JR-3,Nebraska,8:06.06,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",486.06
65,"Johnson, Scott",SR-4,Air Force,8:06.14,Iowa State Classic,"Feb 12, 2021",486.14
66,"Porter, Wes",FR-1,Virginia,8:06.18,Virginia Beach Invitational,"Feb 1, 2021",486.18
67,"Allen, Jake",FR-1,Kentucky,8:06.22,Music City Challenge,"Feb 12, 2021",486.22
68,"Bistritz, Joe",SR-4,NC State,8:06.23,Virginia Beach Invitational,"Feb 1, 2021",486.23
69,"Cardamone, Benjamin",SR-4,Buffalo,"8:06.25
#",Mid-American Indoor Track & Field Championships,"Feb 26, 2021",486.25
70,"Gomez, Cruz",SO-2,Texas,8:06.42,Tyson Invitational,"Feb 12, 2021",486.42
71,"Remick, Austin",JR-3,Michigan,8:06.49,B1G Indoor T&F Invitational,"Feb 12, 2021",486.49
72,"Burger, Hannes",SO-2,NC State,8:06.60,Virginia Beach Invitational,"Feb 1, 2021",486.6
73,"Murphy, Ryan",JR-3,Arkansas,8:06.71,Wooo Pig Classic,"Jan 22, 2021",486.71
74,"Maier, Alex",FR-1,Oklahoma State,"8:07.22
@",Big 12 Indoor Track & Field Championships,"Feb 26, 2021",487.22
75,"Abdalla, Yaseen",FR-1,Texas,"8:07.56
@",Big 12 Indoor Track & Field Championships,"Feb 26, 2021",487.56
